Location,Phase,Cheese,Charm,Mouse,,,,,,,,,
Labyrinth,Plain Tech,Glowing Gruyere,-,Ash Golem,22.53%,,,,,,,,
Labyrinth,Plain Tech,Glowing Gruyere,-,Corridor Bruiser,17.99%,,,,,,,,
Labyrinth,Plain Tech,Glowing Gruyere,-,Lost Legionnaire,15.49%,,,,,,,,
Labyrinth,Plain Tech,Glowing Gruyere,-,Lost,15.13%,,,,,,,,
Labyrinth,Plain Tech,Glowing Gruyere,-,Reanimated Carver,1.91%,,,,,,,,
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,RR-8,21.59%,,,,,,,,
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,Shadow Stalker,18.73%,,,,,,,,
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,Ash Golem,17.99%,,,,,,,,
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,Corridor Bruiser,14.80%,,,,,,,,
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,Lost,12.81%,,,,,,,,
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,Lost Legionnaire,12.53%,,,,,,,,
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,Reanimated Carver,1.55%,,,,,,,,
Labyrinth,Plain Scholar,Glowing Gruyere,-,Summoning Scholar,26.55%,,,,,,,,
Labyrinth,Plain Scholar,Glowing Gruyere,-,Sanguinarian,22.39%,,,,,,,,
Labyrinth,Plain Scholar,Glowing Gruyere,-,Corridor Bruiser,18.29%,,,,,,,,
Labyrinth,Plain Scholar,Glowing Gruyere,-,Lost Legionnaire,15.69%,,,,,,,,
Labyrinth,Plain Scholar,Glowing Gruyere,-,Lost,14.97%,,,,,,,,
Labyrinth,Plain Scholar,Glowing Gruyere,-,Reanimated Carver,2.12%,,,,,,,,
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,Summoning Scholar,21.34%,,,,,,,,
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,Shadow Stalker,19.04%,,,,,,,,
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,Sanguinarian,18.26%,,,,,,,,
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,Corridor Bruiser,14.73%,,,,,,,,
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,Lost,12.55%,,,,,,,,
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,Lost Legionnaire,12.46%,,,,,,,,
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,Reanimated Carver,1.63%,,,,,,,,
Labyrinth,Plain Treasury,Glowing Gruyere,-,Hired Eidolon,27.62%,,,,,,,,
Labyrinth,Plain Treasury,Glowing Gruyere,-,Mimic,21.81%,,,,,,,,
Labyrinth,Plain Treasury,Glowing Gruyere,-,Lost Legionnaire,20.55%,,,,,,,,
Labyrinth,Plain Treasury,Glowing Gruyere,-,Lost,14.93%,,,,,,,,
Labyrinth,Plain Treasury,Glowing Gruyere,-,Corridor Bruiser,13.27%,,,,,,,,
Labyrinth,Plain Treasury,Glowing Gruyere,-,Reanimated Carver,1.83%,,,,,,,,
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,Hired Eidolon,23.29%,,,,,,,,
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,Mimic,18.55%,,,,,,,,
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,Lost Legionnaire,17.90%,,,,,,,,
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,Shadow Stalker,14.73%,,,,,,,,
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,Lost,13.03%,,,,,,,,
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,Corridor Bruiser,11.05%,,,,,,,,
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,Reanimated Carver,1.45%,,,,,,,,
Labyrinth,Plain Farming,Glowing Gruyere,-,Mush Monster,31.36%,,,,,,,,
Labyrinth,Plain Farming,Glowing Gruyere,-,Lost Legionnaire,20.52%,,,,,,,,
Labyrinth,Plain Farming,Glowing Gruyere,-,Lost,20.03%,,,,,,,,
Labyrinth,Plain Farming,Glowing Gruyere,-,Mushroom Harvester,17.75%,,,,,,,,
Labyrinth,Plain Farming,Glowing Gruyere,-,Corridor Bruiser,5.17%,,,,,,,,
Labyrinth,Plain Farming,Glowing Gruyere,-,Reanimated Carver,5.17%,,,,,,,,
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,Mush Monster,27.91%,,,,,,,,
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,Lost,18.29%,,,,,,,,
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,Lost Legionnaire,17.69%,,,,,,,,
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,Mushroom Harvester,16.94%,,,,,,,,
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,Shadow Stalker,10.09%,,,,,,,,
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,Corridor Bruiser,4.57%,,,,,,,,
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,Reanimated Carver,4.51%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Drudge,26.42%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Masked Pikeman,22.74%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Solemn Soldier,12.23%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Corridor Bruiser,10.27%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Lost Legionnaire,9.16%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Lost,8.53%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Mind Tearer,7.77%,,,,,,,,
Labyrinth,Superior Fealty,Glowing Gruyere,-,Reanimated Carver,2.88%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Drudge,22.31%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Masked Pikeman,18.99%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Shadow Stalker,16.09%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Solemn Soldier,9.97%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Corridor Bruiser,8.33%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Lost Legionnaire,8.22%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Lost,7.24%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Mind Tearer,6.35%,,,,,,,,
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,Reanimated Carver,2.49%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,RR-8,26.65%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,Ash Golem,22.59%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,Tech Golem,12.10%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,Lost Legionnaire,9.74%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,Corridor Bruiser,9.69%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,Lost,8.70%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,Automated Stone Sentry,7.55%,,,,,,,,
Labyrinth,Superior Tech,Glowing Gruyere,-,Reanimated Carver,2.98%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,RR-8,22.71%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Ash Golem,19.58%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Shadow Stalker,15.79%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Tech Golem,9.32%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Corridor Bruiser,8.36%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Lost Legionnaire,7.86%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Lost,6.97%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Automated Stone Sentry,6.95%,,,,,,,,
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,Reanimated Carver,2.46%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Summoning Scholar,26.86%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Sanguinarian,22.41%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Mystic Guardian,12.41%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Corridor Bruiser,10.40%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Lost Legionnaire,9.03%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Lost,8.16%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Mystic Herald,7.68%,,,,,,,,
Labyrinth,Superior Scholar,Glowing Gruyere,-,Reanimated Carver,3.05%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Summoning Scholar,22.45%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Sanguinarian,19.15%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Shadow Stalker,15.94%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Mystic Guardian,9.42%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Corridor Bruiser,8.60%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Lost Legionnaire,7.81%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Mystic Herald,7.02%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Lost,7.02%,,,,,,,,
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,Reanimated Carver,2.57%,,,,,,,,
Labyrinth,Superior Treasury,Glowing Gruyere,-,Mimic,29.92%,,,,,,,,
Labyrinth,Superior Treasury,Glowing Gruyere,-,Hired Eidolon,19.60%,,,,,,,,
Labyrinth,Superior Treasury,Glowing Gruyere,-,Treasure Brawler,15.81%,,,,,,,,
Labyrinth,Superior Treasury,Glowing Gruyere,-,Lost Legionnaire,12.13%,,,,,,,,
Labyrinth,Superior Treasury,Glowing Gruyere,-,Lost,11.91%,,,,,,,,
Labyrinth,Superior Treasury,Glowing Gruyere,-,Corridor Bruiser,7.64%,,,,,,,,
Labyrinth,Superior Treasury,Glowing Gruyere,-,Reanimated Carver,2.98%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Mimic,26.97%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Hired Eidolon,17.13%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Treasure Brawler,12.40%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Shadow Stalker,12.20%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Lost Legionnaire,11.61%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Lost,9.25%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Corridor Bruiser,6.89%,,,,,,,,
Labyrinth,Superior Treasury,SB+*/Gouda*/Brie*,-,Reanimated Carver,3.54%,,,,,,,,
Labyrinth,Superior Farming,Glowing Gruyere,-,Mushroom Harvester,27.62%,,,,,,,,
Labyrinth,Superior Farming,Glowing Gruyere,-,Nightshade Nanny,25.55%,,,,,,,,
Labyrinth,Superior Farming,Glowing Gruyere,-,Mush Monster,19.61%,,,,,,,,
Labyrinth,Superior Farming,Glowing Gruyere,-,Lost Legionnaire,10.13%,,,,,,,,
Labyrinth,Superior Farming,Glowing Gruyere,-,Lost,8.51%,,,,,,,,
Labyrinth,Superior Farming,Glowing Gruyere,-,Reanimated Carver,5.37%,,,,,,,,
Labyrinth,Superior Farming,Glowing Gruyere,-,Corridor Bruiser,3.21%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Mushroom Harvester,26.16%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Nightshade Nanny,24.58%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Mush Monster,18.88%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Lost Legionnaire,9.92%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Lost,7.76%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Reanimated Carver,4.92%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Shadow Stalker,4.51%,,,,,,,,
Labyrinth,Superior Farming,SB+*/Gouda*/Brie*,-,Corridor Bruiser,3.28%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Drudge,26.60%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Masked Pikeman,23.88%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Dark Templar,16.88%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Mind Tearer,14.64%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Solemn Soldier,6.96%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Corridor Bruiser,4.80%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Reanimated Carver,3.60%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Lost,1.48%,,,,,,,,
Labyrinth,Epic Fealty,Glowing Gruyere,-,Lost Legionnaire,1.16%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Drudge,23.57%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Masked Pikeman,22.42%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Dark Templar,14.73%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Mind Tearer,11.13%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Shadow Stalker,10.64%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Solemn Soldier,6.06%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Corridor Bruiser,4.42%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Reanimated Carver,3.76%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Lost Legionnaire,1.64%,,,,,,,,
Labyrinth,Epic Fealty,SB+*/Gouda*/Brie*,-,Lost,1.64%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Ash Golem,25.65%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,RR-8,25.04%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Fungal Technomorph,16.24%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Automated Stone Sentry,14.44%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Tech Golem,7.77%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Reanimated Carver,4.71%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Corridor Bruiser,4.17%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Lost,1.23%,,,,,,,,
Labyrinth,Epic Tech,Glowing Gruyere,-,Lost Legionnaire,0.74%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,RR-8,24.14%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Ash Golem,20.90%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Fungal Technomorph,14.77%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Automated Stone Sentry,12.43%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Shadow Stalker,11.35%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Tech Golem,6.13%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Corridor Bruiser,3.96%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Reanimated Carver,2.88%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Lost Legionnaire,1.80%,,,,,,,,
Labyrinth,Epic Tech,SB+*/Gouda*/Brie*,-,Lost,1.62%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Summoning Scholar,27.87%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Sanguinarian,23.77%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Mystic Scholar,17.79%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Mystic Herald,12.69%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Mystic Guardian,6.59%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Corridor Bruiser,4.11%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Reanimated Carver,4.11%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Lost,1.74%,,,,,,,,
Labyrinth,Epic Scholar,Glowing Gruyere,-,Lost Legionnaire,1.33%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Summoning Scholar,27.31%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Sanguinarian,19.35%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Mystic Scholar,14.62%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Mystic Herald,12.04%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Shadow Stalker,8.60%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Mystic Guardian,7.10%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Corridor Bruiser,5.59%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Reanimated Carver,4.09%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Lost Legionnaire,0.86%,,,,,,,,
Labyrinth,Epic Scholar,SB+*/Gouda*/Brie*,-,Lost,0.43,,,,,,,,
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,Ash Golem,37.72%,,,,,,,,
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,RR-8,32.82%,,,,,,,,
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,Reanimated Carver,20.44%,,,,,,,,
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,Exo-Tech,9.02%,,,,,,,,
Zokor,Research Center,Glowing Gruyere,-,Exo-Tech,33.71%,,,,,,,,
Zokor,Research Center,Glowing Gruyere,-,Matron of Machinery,30.28%,,,,,,,,
Zokor,Research Center,Glowing Gruyere,-,Reanimated Carver,14.37%,,,,,,,,
Zokor,Research Center,Glowing Gruyere,-,Automated Stone Sentry,12.36%,,,,,,,,
Zokor,Research Center,Glowing Gruyere,-,Tech Golem,5.01%,,,,,,,,
Zokor,Research Center,Glowing Gruyere,-,Ash Golem,2.41%,,,,,,,,
Zokor,Research Center,Glowing Gruyere,-,RR-8,1.87%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Exo-Tech,32.17%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Matron of Machinery,29.37%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Reanimated Carver,12.16%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Automated Stone Sentry,9.10%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Fungal Technomorph,7.91%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Tech Golem,5.70%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Manaforge Smith,1.76%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,RR-8,0.93%,,,,,,,,
Zokor,Manaforge Smith,Glowing Gruyere,-,Ash Golem,0.90%,,,,,,,,
Zokor,Manaforge Smith,SB+*/Gouda*/Brie*,-,,,,,,,,,,
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,Summoning Scholar,34.91%,,,,,,,,
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,Sanguinarian,34.82%,,,,,,,,
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,Reanimated Carver,20.79%,,,,,,,,
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,Ethereal Guardian,9.48%,,,,,,,,
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,Ethereal Guardian,35.28%,,,,,,,,
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,Ancient Scribe,32.03%,,,,,,,,
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,Reanimated Carver,15.42%,,,,,,,,
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,Mystic Herald,9.07%,,,,,,,,
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,Mystic Guardian,6.05%,,,,,,,,
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,Summoning Scholar,1.17%,,,,,,,,
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,Sanguinarian,0.97%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Ethereal Guardian,33.01%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Ancient Scribe,29.47%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Reanimated Carver,11.50%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Mystic Herald,8.82%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Mystic Scholar,7.81%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Mystic Guardian,5.73%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Soul Binder,1.64%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Summoning Scholar,1.02%,,,,,,,,
Zokor,Dark Libary,Glowing Gruyere,-,Sanguinarian,0.99%,,,,,,,,
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,Masked Pikeman,36.52%,,,,,,,,
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,Drudge,34.18%,,,,,,,,
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,Reanimated Carver,20.22%,,,,,,,,
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,Battle Cleric,9.08%,,,,,,,,
Zokor,Inner Fealty Temple,Glowing Gruyere,-,Battle Cleric,34.46%,,,,,,,,
Zokor,Inner Fealty Temple,Glowing Gruyere,-,Sir Fleekio,31.26%,,,,,,,,
Zokor,Inner Fealty Temple,Glowing Gruyere,-,Reanimated Carver,15.59%,,,,,,,,
Zokor,Inner Fealty Temple,Glowing Gruyere,-,Mind Tearer,9.81%,,,,,,,,
Zokor,Inner Fealty Temple,Glowing Gruyere,-,Solemn Soldier,6.97%,,,,,,,,
Zokor,Inner Fealty Temple,Glowing Gruyere,-,Drudge,1.04%,,,,,,,,
Zokor,Inner Fealty Temple,Glowing Gruyere,-,Masked Pikeman,0.86%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Battle Cleric,32.47%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Sir Fleekio,29.42%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Reanimated Carver,11.75%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Mind Tearer,8.84%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Dark Templar,7.87%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Solemn Soldier,5.97%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Paladin Weapon Master,1.74%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Masked Pikeman,0.99%,,,,,,,,
Zokor,Templar's Sanctum,Glowing Gruyere,-,Drudge,0.96%,,,,,,,,
M400 hunting,-,Fusion Fondue,-,M400,100.00%,,,,,,,,
Acolyte Realm,-,Runic,-,Golem,19.31%,,,,,,,,
Acolyte Realm,-,Runic,-,Gorgon,18.22%,,,,,,,,
Acolyte Realm,-,Runic,-,Spectre,18.08%,,,,,,,,
Acolyte Realm,-,Runic,-,Sorcerer,16.35%,,,,,,,,
Acolyte Realm,-,Runic,-,Acolyte,8.27%,,,,,,,,
Acolyte Realm,-,Runic,-,Wight,8.22%,,,,,,,,
Acolyte Realm,-,Runic,-,Lich,8.20%,,,,,,,,
Acolyte Realm,-,Runic,-,Chrono,1.92%,,,,,,,,
Acolyte Realm,-,Runic,-,Gate Guardian,1.42%,,,,,,,,
Acolyte Realm,-,Ancient,-,Golem,27.48%,,,,,,,,
Acolyte Realm,-,Ancient,-,Spectre,24.69%,,,,,,,,
Acolyte Realm,-,Ancient,-,Gorgon,21.88%,,,,,,,,
Acolyte Realm,-,Ancient,-,Sorcerer,16.69%,,,,,,,,
